video_id;video_title;channel;author;comment;published_at;like_count;clean;sentiment;confidence
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@danixyw;Bowo omon' sja;2026-06-05T13:09:04Z;0;bowo omon saja;negatif;0.9831
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@wickedhero3764;Menyesalkan, WKWKWK;2026-06-05T05:04:23Z;0;menyesalkan wkwkwk;negatif;0.9931
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@Davidewww17;Akun @ariffajar1060 buzzer;2026-06-04T01:28:31Z;0;akun buzzer;netral;0.945
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@KholwatunNafisah;Makanya harus dengerin masyarakat negara bukan kepunyaaant mbg di stop lah dari pada melatih korupsi di keruk pakai nasi;2026-06-04T00:09:42Z;0;makanya harus dengerin masyarakat negara bukan kepunyaant mbg di stop lah dari pada melatih korupsi di keruk pakai nasi;negatif;0.9944
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@yukbernyanyi1120;HNCURRRRRRE;2026-05-27T09:02:33Z;0;hncurre;netral;0.9665
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@baguswu;Saya balik kesini dr tahun 2026, dollar meroket, MBG bermasalah, ikn mandek.. 😊😊;2026-05-25T20:44:02Z;1;saya balik kesini dari tahun dollar meroket mbg bermasalah ikn mandek;negatif;0.9629
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@sumiatiayyanafia;🎉5😊;2026-05-23T14:26:12Z;0;;positif;0.8912
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@MatrutySimon;"Sy juga,pak prabowo meletup-letub(Najwq shihab)
Kajian yulen";2026-05-23T12:15:44Z;0;saya juga pak prabowo meletup letub najwq shihab kajian yulen;netral;0.9713
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@MatrutySimon;"Isu HAM.Fitnah
Yulen";2026-05-23T12:10:57Z;0;isu ham fitnah yulen;negatif;0.9926
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@ratusejagad8965;"11/100
OMON OMON";2026-05-23T08:44:07Z;0;omon omon;negatif;0.6655
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@sahripudinSahripudin-k9r;gelang.si.patu;2026-05-19T15:40:40Z;0;gelang si patu;negatif;0.9954
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@Nooo.02;1:47:11;2026-05-18T10:55:40Z;1;;positif;0.8912
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@fairushsn;"Sebuah wawancara yang membuka mata. Terlepas dari pro dan kontra politik, argumen Pak Prabowo mengenai ketahanan nasional, kedaulatan pangan, dan geopolitik global (""the strong will do what they can, and the weak suffer what they must"") adalah realitas dingin yang harus dihadapi bangsa ini. Pemimpin memang harus memiliki visi makro jangka panjang dan tidak terjebak dalam comfort zone. Salut untuk Mbak Nana yang selalu tajam dalam membedah isi kepala narasumber.";2026-05-18T08:03:49Z;1;sebuah wawancara yang membuka mata terlepas dari pro dan kontra politik argumen pak prabowo mengenai ketahanan nasional kedaulatan pangan dan geopolitik global the strong will do what they can and the weak suffer what they must adalah realitas dingin yang harus dihadapi bangsa ini pemimpin memang harus memiliki visi makro jangka panjang dan tidak terjebak dalam comfort zone salut untuk mbak nana yang selalu tajam dalam membedah isi kepala narasumber;positif;0.9931
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@kelanadriansyah;Tapirayatmasih punyajalan buatpaprabowo kaloindonesia pengenmakmur rayatnya sigibranmajulkan anisgantinyabaru majuindonesia percaya pakaaing;2026-05-16T18:50:44Z;0;tapirayatmasih punyajalan buatpaprabowo kaloindonesia pengenmakmur rayatnya sigibranmajulkan anisgantinyabaru majuindonesia percaya pakaaing;positif;0.9408
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@kelanadriansyah;Kamirayatyakin prabowotida akankorupsi tapiprabowosalah nerapkeun mentri2 titipanjokowi shirnya kebijakan paprabowo dirusak;2026-05-16T18:39:42Z;0;kamirayatyakin prabowotida akankorupsi tapiprabowosalah nerapkeun mentri2 titipanjokowi shirnya kebijakan paprabowo dirusak;negatif;0.9498
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@dokterferrygunawan;🤡💩;2026-05-12T10:38:09Z;0;;positif;0.8912
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@Lutfi-o9y;yops iya keren.;2026-05-11T22:19:28Z;0;yops iya keren;positif;0.754
c9bHbB8z7Cg;Eksklusif: Prabowo Subianto Bicara | Mata Najwa;Najwa Shihab;@EprianaNurriyansah;Mau nyalon lagi gak ada yang bakal pilih sampean 100%yakin;2026-05-10T09:32:45Z;0;mau nyalon lagi tidak ada yang bakal pilih sampean yakin;positif;0.5514
